Type,Identifier,Text
WriteText,textCutsceneScript13_WriteText_0012_0,おかえり <NAME>はん。<BR>ごくろうさんやったな。<BR>
WriteText,textCutsceneScript13_WriteText_002F_0,おつかれのところ スマンけど<BR>『かくのうこ』について<BR>せつめいを しとくわ。<BR>
WriteText,textCutsceneScript13_WriteText_005B_0,『かくのうこ』では<BR>ぶきや アイテムを<BR>そうこに あずけたり <BR>
WriteText,textCutsceneScript13_WriteText_0080_0,バックパックのせいりや<BR>こうぶのかいぞうが<BR>できるんや。<BR>
WriteText,textCutsceneScript13_WriteText_00A0_0,そうびのへんこう‥‥<BR>すなわち ぶきのもちかえや<BR>ぶきにわざをセットするのも<BR>
WriteText,textCutsceneScript13_WriteText_00CA_0,『かくのうこ』で やるんや。<BR>まあ ぶきのもちかえや<BR>ぶきにわざをセット するのは<BR>
WriteText,textCutsceneScript13_WriteText_00F9_0,しゅつげきちゅうでも<BR>できるんやけどな。<BR>わかったか?<BR>
OptionSelect,textCutsceneScript13_OptionSelect_0118_0,くわしい せつめいをきく
OptionSelect,textCutsceneScript13_OptionSelect_0118_1,わかりました
WriteText,textCutsceneScript13_WriteText_0146_0,はい わかりました!<BR>
WriteText,textCutsceneScript13_WriteText_0158_0,よっしゃ!<BR>ほな がんばってな<BR><NAME>はん。<BR>
WriteText,textCutsceneScript13_WriteText_0174_0,もっと くわしいせつめいを<BR>きこう。<BR>
OptionSelect,textCutsceneScript13_OptionSelect_018A_0,ぶきそうび についてきく
OptionSelect,textCutsceneScript13_OptionSelect_018A_1,わざセット についてきく
OptionSelect,textCutsceneScript13_OptionSelect_018A_2,きくのを やめる
WriteText,textCutsceneScript13_WriteText_01D1_0,‥‥やっぱり いいや。<BR>
WriteText,textCutsceneScript13_WriteText_01E4_0,ん? どないしたんや<BR><NAME>はん。<BR>
WriteText,textCutsceneScript13_WriteText_01FB_0,まあ ええわ。<BR>ほな がんばってな<BR><NAME>はん。<BR>
WriteText,textCutsceneScript13_WriteText_0219_0,ぶきのそうびについて<BR>もっとくわしくおしえて<BR>いただけませんか?<BR>
WriteText,textCutsceneScript13_WriteText_0241_0,よっしゃ ぶきのそうびに<BR>ついてやな。<BR>ほな じゅんばんに いうで。<BR>
