Type,Identifier,Text
WriteText,textCutsceneScript3F_WriteText_005A_0,<NAME>くん。<BR>こんやは なかなか<BR>きもちのいい よるだ。<BR>
WriteText,textCutsceneScript3F_WriteText_0078_0,みんな なかにわで<BR>すずんでいるから<BR><NAME>くんも いこうよ。<BR>
WriteText,textCutsceneScript3F_WriteText_009C_0,はい。<BR>
WriteText,textCutsceneScript3F_WriteText_00AE_0,<NAME>さん。<BR>きょうは きもちのいい<BR>よるですよ。<BR>
WriteText,textCutsceneScript3F_WriteText_00C9_0,みんな なかにわで すずんで<BR>いますから <NAME>さんも<BR>いきましょうよ。<BR>
WriteText,textCutsceneScript3F_WriteText_00F2_0,はい。<BR>
WriteText,textCutsceneScript3F_WriteText_0104_0,<NAME>さん。<BR>こんやは なかなか<BR>きもちのいい よるですわ。<BR>
WriteText,textCutsceneScript3F_WriteText_0124_0,みんな なかにわで すずんで<BR>いますのよ。<NAME>さんも<BR>いきますわよね。<BR>
WriteText,textCutsceneScript3F_WriteText_014D_0,はい。<BR>
WriteText,textCutsceneScript3F_WriteText_015F_0,<NAME>。<BR>こんやは なかなか<BR>きもちのいい よるよ。<BR>
WriteText,textCutsceneScript3F_WriteText_017B_0,みんな なかにわで すずんで<BR>いるから <NAME>も<BR>いきましょう。<BR>
WriteText,textCutsceneScript3F_WriteText_01A0_0,はい。<BR>
WriteText,textCutsceneScript3F_WriteText_01B2_0,<NAME>!<BR>こんやは おそとが<BR>きもちいいよ。<BR>
WriteText,textCutsceneScript3F_WriteText_01CA_0,みんな なかにわで<BR>すずんでいるから<BR><NAME>も いこう。<BR>
WriteText,textCutsceneScript3F_WriteText_01EB_0,うん!<BR>
WriteText,textCutsceneScript3F_WriteText_01FD_0,<NAME>はん。<BR>こんやは なかなか<BR>きもちのエエ よるや。<BR>
WriteText,textCutsceneScript3F_WriteText_021B_0,みんな なかにわで<BR>すずんでるから<BR><NAME>はんも いこう。<BR>
WriteText,textCutsceneScript3F_WriteText_023D_0,はい。<BR>
WriteText,textCutsceneScript3F_WriteText_024F_0,よう <NAME>!<BR>こんやは そとのかぜが<BR>きもちいいぜ。<BR>
WriteText,textCutsceneScript3F_WriteText_026C_0,みんな なかにわで<BR>すずんでるから いこうぜ<BR><NAME>。<BR>
WriteText,textCutsceneScript3F_WriteText_028C_0,はい!<BR>
WriteText,textCutsceneScript3F_WriteText_029E_0,<NAME>さん。<BR>きょうは きもちのいい<BR>よるでーす。<BR>
WriteText,textCutsceneScript3F_WriteText_02B9_0,みんな なかにわで すずんで<BR>いまーす。 <NAME>さんも<BR>いきましょー。<BR>
WriteText,textCutsceneScript3F_WriteText_02E1_0,はい!<BR>
WriteText,textCutsceneScript3F_WriteText_02F3_0,<NAME>。<BR>こんやは すずしくて<BR>そとが きもちいい。<BR>
WriteText,textCutsceneScript3F_WriteText_030F_0,みんな なかにわで <BR>すずんでいる。 <BR><NAME>も いこう<BR>
WriteText,textCutsceneScript3F_WriteText_0330_0,はい。<BR>
WriteText,textCutsceneScript3F_WriteText_0344_0,ほしがきれいだな～。<BR>
WriteText,textCutsceneScript3F_WriteText_0356_0,そうですね。<BR>
WriteText,textCutsceneScript3F_WriteText_0364_0,あっ!<BR>あまのがわが みえるよ。<BR>
WriteText,textCutsceneScript3F_WriteText_037C_0,ほんとだ‥‥<BR>
WriteText,textCutsceneScript3F_WriteText_0389_0,あまのがわ といえば‥‥<BR>
OptionSelectTimed,textCutsceneScript3F_OptionSelectTimed_0399_0,ラブ・ストーリーですね
OptionSelectTimed,textCutsceneScript3F_OptionSelectTimed_0399_1,ミルキーウェイですね
OptionSelectTimed,textCutsceneScript3F_OptionSelectTimed_0399_2,ほうせきを ちりばめたよう
