Type,Identifier,Text
WriteText,textCutsceneScript5B_WriteText_0010_0,<NAME>くん<BR>にんむ かんりょう<BR>ごくろうさま。<BR>
WriteText,textCutsceneScript5B_WriteText_0029_0,ほんとうに<BR>よく がんばったわね。<BR>おつかれさま。<BR>
WriteText,textCutsceneScript5B_WriteText_004A_0,<NAME>さん‥‥<BR>カッコイイです‥‥<RED>♥<BLACK><BR>
WriteText,textCutsceneScript5B_WriteText_0067_0,<NAME>ちゃん<BR>ステキよ～ん。<BR>ごほうびの チュウをあげる<RED>♥<BLACK><BR>
WriteText,textCutsceneScript5B_WriteText_008F_0,<NAME>さん <BR>あなたのおかげで<BR>たすかりました。ありがとう。<BR>
WriteText,textCutsceneScript5B_WriteText_00B3_0,<NAME>さん<BR>ほんとうに<BR>おつかれさまでした!<BR>
WriteText,textCutsceneScript5B_WriteText_00CF_0,<NAME>くん<BR>やったわね!<BR>あなたは ヒーローよ!<BR>
WriteText,textCutsceneScript5B_WriteText_00ED_0,<NAME>さんの おかげで<BR>へいわになりました。<BR>ありがとうございます。<BR>
WriteText,textCutsceneScript5B_WriteText_0114_0,なんだか テレますね‥‥<BR>でも こちらこそ たいへん<BR>おせわになりました。<BR>
WriteText,textCutsceneScript5B_WriteText_0141_0,フフフ‥‥‥‥<BR>じゃあ いきましょうか<BR><NAME>くん。<BR>
WriteText,textCutsceneScript5B_WriteText_015D_0,はなぐみの みんなが<BR>そとでまっているわ。<BR>
WriteText,textCutsceneScript5B_WriteText_0184_0,<NAME>くん<BR>にんむ ごくろうさま。<BR>
WriteText,textCutsceneScript5B_WriteText_0197_0,さいしょは どうなるかと<BR>おもったけど‥‥<BR>
WriteText,textCutsceneScript5B_WriteText_01B0_0,みごと やりとげたわね<BR><NAME>くん<BR>りっぱだったわよ。<BR>
WriteText,textCutsceneScript5B_WriteText_01D1_0,まったくだぜ <NAME>!<BR>ついに やりやがったな!<BR>
WriteText,textCutsceneScript5B_WriteText_01EB_0,まさか おまえが<BR>ここまでやるなんて<BR>おもってなかったよ。<BR>
WriteText,textCutsceneScript5B_WriteText_020C_0,これからも あたいみたいに<BR>ジャンジャン メシをくって<BR>つよくなれよ!<BR>
WriteText,textCutsceneScript5B_WriteText_0237_0,あら カンナさんをみならって<BR>おデブさんに なったら<BR>めも あてられませんわ。<BR>
WriteText,textCutsceneScript5B_WriteText_0262_0,<NAME>さんは<BR>いまのままで じゅうぶん<BR>りっぱですわよ。<BR>
WriteText,textCutsceneScript5B_WriteText_0280_0,これからも このちょうしで<BR>しっかりと がんばりなさい。<BR>いいですこと?<BR>
WriteText,textCutsceneScript5B_WriteText_02AC_0,わーい!<BR>やったね <NAME>!<BR>
WriteText,textCutsceneScript5B_WriteText_02BC_0,『まじんき』をとりもどしたし<BR>わるいやつも やっつけたし<BR><NAME>は スゴイよ!<BR>
WriteText,textCutsceneScript5B_WriteText_02E7_0,<NAME>がいれば<BR>こわいものなしだよ。<BR>ねぇ レニ?<BR>
WriteText,textCutsceneScript5B_WriteText_0306_0,そうだね‥‥<BR>りっぱな せんりょくだ。<BR>
WriteText,textCutsceneScript5B_WriteText_031D_0,せんじょうでも<BR>あんしんして せなかを<BR>まかせられる。<BR>
WriteText,textCutsceneScript5B_WriteText_033C_0,<NAME><BR>これからも よろしく。<BR>
WriteText,textCutsceneScript5B_WriteText_0351_0,<NAME>はん<BR>おつかれさまやったな!<BR>
WriteText,textCutsceneScript5B_WriteText_0364_0,はじめての にんむ<BR>よう がんばったな。<BR>
WriteText,textCutsceneScript5B_WriteText_037C_0,ウチも うかうか<BR>してられへんで。<BR>いっしょに がんばろな!<BR>
WriteText,textCutsceneScript5B_WriteText_03A2_0,Oh! <NAME>さん。<BR>グレートでーす!<BR>
WriteText,textCutsceneScript5B_WriteText_03B7_0,あなたは まさに<BR>サムライでーす!<BR>カッコイイでーす!<BR>
WriteText,textCutsceneScript5B_WriteText_03D6_0,わたし ウロコから めが<BR>おちましたでーす!<BR>
WriteText,textCutsceneScript5B_WriteText_03F4_0,ふふふ おりひめさん<BR>それをいうなら<BR>めからウロコがおちたですよ。<BR>
WriteText,textCutsceneScript5B_WriteText_0419_0,でも <NAME>さん<BR>ほんとうに すごいですよ!<BR>
WriteText,textCutsceneScript5B_WriteText_0431_0,あたしも <NAME>さんを<BR>みならって がんばろうと<BR>おもいます!<BR>
WriteText,textCutsceneScript5B_WriteText_0456_0,ついに やったな<BR><NAME>くん。<BR>
WriteText,textCutsceneScript5B_WriteText_0467_0,はじめての じっせんなのに<BR>きみは れいせいに<BR>さいごまで やりとげたよ。<BR>
WriteText,textCutsceneScript5B_WriteText_0490_0,きみが ていとのへいわを<BR>まもったんだ。<BR>ありがとう!<BR>
WriteText,textCutsceneScript5B_WriteText_04B2_0,そんなこと ありません。<BR>こちらこそ たすけてもらって<BR>ありがとうございました。<BR>
WriteText,textCutsceneScript5B_WriteText_04E2_0,フフフ‥‥<BR>とにかく しばらくは<BR>あなたも おやすみなさい。<BR>
WriteText,textCutsceneScript5B_WriteText_0504_0,そして また<BR>ていとに きけんがきたら<BR>よろしくたのむわよ。<BR>
WriteText,textCutsceneScript5B_WriteText_0529_0,りょうかい!<BR>
WriteText,textCutsceneScript5B_WriteText_0537_0,それでは<BR>サンダーボルトさくせん<BR>これで しゅうりょう!<BR>
WriteText,textCutsceneScript5B_WriteText_0557_0,みんな ほんとうに<BR>よくがんばってくれたわ!<BR>
WriteText,textCutsceneScript5B_WriteText_05C9_0,そうだ <NAME>くん<BR>カメラもってたよな。<BR>
WriteText,textCutsceneScript5B_WriteText_05DF_0,さいごに みんなで<BR>きねんさつえいを<BR>しようよ。<BR>
WriteText,textCutsceneScript5B_WriteText_05FE_0,じゃあ ボクが<BR>セルフタイマーを<BR>セットしますよ。<BR>
WriteText,textCutsceneScript5B_WriteText_061B_0,いいですか?<BR>いきますよ～。<BR>
WriteText,textCutsceneScript5B_WriteText_0635_0,あっ! つまずいた!!<BR>
WriteText,textCutsceneScript5B_WriteText_0648_0,<NAME>くん!<BR>いそいで! いそいで!<BR>
WriteText,textCutsceneScript5B_WriteText_0666_0,あ <NAME>さん<BR>カメラ もってましたよね。<BR>
WriteText,textCutsceneScript5B_WriteText_067D_0,さいごに みんなで<BR>きねんさつえいを<BR>しませんか?<BR>
WriteText,textCutsceneScript5B_WriteText_069D_0,じゃあ ボクが<BR>セルフタイマーを<BR>セットしますよ。<BR>
WriteText,textCutsceneScript5B_WriteText_06BA_0,いいですか?<BR>いきますよ～。<BR>
WriteText,textCutsceneScript5B_WriteText_06D4_0,あっ! つまずいた!!<BR>
WriteText,textCutsceneScript5B_WriteText_06E7_0,<NAME>さん!<BR>いそいで! シャッターが <BR>おりてしまいますよ!!<BR>
WriteText,textCutsceneScript5B_WriteText_0713_0,ところで <NAME>さん<BR>たしか カメラを<BR>おもちでしたわね?<BR>
WriteText,textCutsceneScript5B_WriteText_0732_0,そのカメラをつかって<BR>みんなで きねんさつえいを<BR>しませんこと?<BR>
WriteText,textCutsceneScript5B_WriteText_0759_0,じゃあ ボクが<BR>セルフタイマーを<BR>セットしますよ。<BR>
WriteText,textCutsceneScript5B_WriteText_0776_0,いいですか?<BR>いきますよ～。<BR>
WriteText,textCutsceneScript5B_WriteText_0790_0,あっ! つまずいた!!<BR>
WriteText,textCutsceneScript5B_WriteText_07A3_0,<NAME>さん!<BR>はやくしないと<BR>シャッターが!!<BR>
WriteText,textCutsceneScript5B_WriteText_07C6_0,そういえば <NAME>くん<BR>カメラを もっていたわね。<BR>
WriteText,textCutsceneScript5B_WriteText_07E1_0,せっかくだから<BR>みんなで きねんしゃしんを<BR>とらない?<BR>
WriteText,textCutsceneScript5B_WriteText_0803_0,じゃあ ボクが<BR>セルフタイマーを<BR>セットしますよ。<BR>
WriteText,textCutsceneScript5B_WriteText_0820_0,いいですか?<BR>いきますよ～。<BR>
WriteText,textCutsceneScript5B_WriteText_083A_0,あっ! つまずいた!!<BR>
WriteText,textCutsceneScript5B_WriteText_084D_0,<NAME>くん!<BR>はやくしないと!!<BR>
WriteText,textCutsceneScript5B_WriteText_0869_0,そういえば <NAME>はん。<BR>カメラ もってたよな。<BR>
WriteText,textCutsceneScript5B_WriteText_0883_0,せっかくやから<BR>そのカメラで きねんさつえい<BR>やらへんか?<BR>
WriteText,textCutsceneScript5B_WriteText_08A7_0,じゃあ ボクが<BR>セルフタイマーを<BR>セットしますよ。<BR>
WriteText,textCutsceneScript5B_WriteText_08C4_0,いいですか?<BR>いきますよ～。<BR>
WriteText,textCutsceneScript5B_WriteText_08DE_0,あっ! つまずいた!!<BR>
WriteText,textCutsceneScript5B_WriteText_08F1_0,<NAME>はん!<BR>はよせな まにあえへんで!<BR>
WriteText,textCutsceneScript5B_WriteText_0911_0,<NAME>って<BR>カメラを もってたよね?<BR>
WriteText,textCutsceneScript5B_WriteText_0925_0,みんなで おしゃしんを<BR>とろうよ! ね!<BR>
WriteText,textCutsceneScript5B_WriteText_0940_0,じゃあ ボクが<BR>セルフタイマーを<BR>セットするよ。<BR>
WriteText,textCutsceneScript5B_WriteText_095C_0,いいですか?<BR>いきますよ～。<BR>
WriteText,textCutsceneScript5B_WriteText_0976_0,あっ! つまずいた!!<BR>
WriteText,textCutsceneScript5B_WriteText_0989_0,<NAME>!<BR>はやく! はやく!!<BR>
WriteText,textCutsceneScript5B_WriteText_09A4_0,そうだ <NAME>!<BR>おまえ カメラもってたよな。<BR>
WriteText,textCutsceneScript5B_WriteText_09BD_0,だったら さいごに<BR>きねんしゃしんを みんなで<BR>とらないか?<BR>
WriteText,textCutsceneScript5B_WriteText_09E2_0,じゃあ ボクが<BR>セルフタイマーを<BR>セットしますよ。<BR>
WriteText,textCutsceneScript5B_WriteText_09FF_0,いいですか?<BR>いきますよ～。<BR>
WriteText,textCutsceneScript5B_WriteText_0A19_0,あっ! つまずいた!!<BR>
WriteText,textCutsceneScript5B_WriteText_0A2C_0,あっ! バカ!<BR>なに マンガみたいなこと<BR>やってんだよ!!<BR>
WriteText,textCutsceneScript5B_WriteText_0A57_0,<NAME>さん!<BR>グッドアイディアが<BR>ありまーす!<BR>
WriteText,textCutsceneScript5B_WriteText_0A70_0,<NAME>さんの カメラで<BR>きねんさつえいを<BR>するのでーす!<BR>
WriteText,textCutsceneScript5B_WriteText_0A91_0,じゃあ ボクが<BR>セルフタイマーを<BR>セットしますよ。<BR>
WriteText,textCutsceneScript5B_WriteText_0AAE_0,いいですか?<BR>いきますよ～。<BR>
WriteText,textCutsceneScript5B_WriteText_0AC8_0,あっ! つまずいた!!<BR>
