Type,Identifier,Text
WriteText,textCutsceneScript5C_WriteText_001B_0,こうらんさん。<BR>ちょっといいですか?<BR>
WriteText,textCutsceneScript5C_WriteText_003B_0,ん‥‥? なんや<BR><NAME>はんやないか。<BR>
WriteText,textCutsceneScript5C_WriteText_0053_0,この『せっけいず』を<BR>こうらんさんに わたして<BR>くれと たのまれたんですが。<BR>
WriteText,textCutsceneScript5C_WriteText_0083_0,せっけいず?<BR>どれどれ‥‥‥<BR>
WriteText,textCutsceneScript5C_WriteText_0099_0,こ‥‥これは!!<BR>『アイゼンクライト』の<BR>せっけいずやないか!!<BR>
WriteText,textCutsceneScript5C_WriteText_00C2_0,えっ! アイゼンクライトって<BR>おりひめさんや レニさんが<BR>のっている きたいですか!<BR>
WriteText,textCutsceneScript5C_WriteText_00F4_0,そうや。<BR>こうぶとは ひとあじちがった<BR>かっこよさがある きたいや。<BR>
WriteText,textCutsceneScript5C_WriteText_011E_0,よっしゃ!<BR>もえてきたで～。<BR>
WriteText,textCutsceneScript5C_WriteText_0134_0,つぎの しゅつげきまでには<BR>バッチリ つくっとくからな。<BR>
WriteText,textCutsceneScript5C_WriteText_0154_0,<NAME>はんは<BR>こうぶでも アイゼンクライト<BR>でも すきなのをつかってな。<BR>
WriteText,textCutsceneScript5C_WriteText_017E_0,こうぶも アイゼンクライトも<BR>すごいきたいやから きぶんで<BR>のりかえたらエエで。<BR>
WriteText,textCutsceneScript5C_WriteText_01B0_0,ほな がんばってな。<BR>
WriteText,textCutsceneScript5C_WriteText_01C7_0,こうらんさん。<BR>ちょっといいですか?<BR>
WriteText,textCutsceneScript5C_WriteText_01E7_0,ん‥‥? なんや<BR><NAME>はんやないか。<BR>
WriteText,textCutsceneScript5C_WriteText_01FF_0,さっきの せっけいず<BR>いったい なにのせっけいず<BR>だったんですか?<BR>
WriteText,textCutsceneScript5C_WriteText_0228_0,フフフ‥‥ <NAME>はん。<BR>きいて おどろいたら<BR>アカンで。<BR>
