Type,Identifier,Text
WriteText,textCutsceneScript5D_WriteText_0017_0,おっ! <NAME>はん。<BR>ちょうどよかった さがしてる<BR>とこ やったんや。<BR>
WriteText,textCutsceneScript5D_WriteText_003C_0,さっきミカサで ウチの<BR>ししょうに おしえてもろた<BR>
WriteText,textCutsceneScript5D_WriteText_005E_0,『デカうで』っちゅーやつ‥‥<BR>
WriteText,textCutsceneScript5D_WriteText_0072_0,さっそく つくってみたんや。<BR>
WriteText,textCutsceneScript5D_WriteText_0087_0,えっ!?<BR>もうできたんですか!?<BR>
WriteText,textCutsceneScript5D_WriteText_009F_0,まあな～。<BR>つくりかたさえ わかれば<BR>ちょちょいの ちょいや。<BR>
WriteText,textCutsceneScript5D_WriteText_00C6_0,ほな かくのうこに<BR>いれといたさかい<BR>じゆうに つかってや～。<BR>
WriteText,textCutsceneScript5D_WriteText_00F5_0,あ そうそう『デカうで』は<BR>ぶきやけど ちょくせつ<BR>ボディに つけるもんやから‥<BR>
WriteText,textCutsceneScript5D_WriteText_0123_0,『こうぶかいぞう』で<BR>そうびするんやで。<BR>ほなな～。<BR>
WriteText,textCutsceneScript5D_WriteText_0152_0,おっ! <NAME>はん。<BR>ちょうどよかった さがしてる<BR>とこ やったんや。<BR>
WriteText,textCutsceneScript5D_WriteText_0177_0,さっきミカサで ウチの<BR>ししょうに おしえてもろた<BR>
WriteText,textCutsceneScript5D_WriteText_0199_0,『デカうで』っちゅーやつ‥‥<BR>
WriteText,textCutsceneScript5D_WriteText_01AD_0,さっそく つくってみたんや。<BR>
WriteText,textCutsceneScript5D_WriteText_01C2_0,えっ!?<BR>もうできたんですか!?<BR>
WriteText,textCutsceneScript5D_WriteText_01DA_0,まあな～。<BR>つくりかたさえ わかれば<BR>ちょちょいの ちょいや。<BR>
WriteText,textCutsceneScript5D_WriteText_0201_0,ほな かくのうこに<BR>いれといたさかい<BR>じゆうに つかってや～。<BR>
WriteText,textCutsceneScript5D_WriteText_0230_0,あ そうそう『デカうで』は<BR>ぶきやけど ちょくせつ<BR>ボディに つけるもんやから‥<BR>
WriteText,textCutsceneScript5D_WriteText_025E_0,『こうぶかいぞう』で<BR>そうびするんやで。<BR>ほなな～。<BR>
