ID,Text
cGameSceneNPCScriptReference0285,あれ?　アイリス。<BR>このエレベーター<BR>うごかないわよ。
cGameSceneNPCScriptReference0286,どうしてかな〜?
cGameSceneNPCScriptReference0287,そうねぇ……<BR>エレベーターがうごかないのは<BR>きっと……
cGameSceneNPCScriptReference0288,どうりょくが　とまっている
cGameSceneNPCScriptReference028A,こわれてる
cGameSceneNPCScriptReference028C,どうりょくが　とまっている<BR>からじゃ　ないかしら?
cGameSceneNPCScriptReference028D,どうりょく?………………
cGameSceneNPCScriptReference028E,あっそうか!<BR>じゃあ　エンジンを<BR>うごかせば　いいんだね!!
cGameSceneNPCScriptReference028F,<NAME>って<BR>あったまいいーーー。
cGameSceneNPCScriptReference0290,それじゃ　エンジンをうごかす<BR>スイッチをさがしに<BR>レッツゴー!!
cGameSceneNPCScriptReference0291,こわれてるんじゃ<BR>ないかしら?
cGameSceneNPCScriptReference0292,え〜っ!<BR>じゃあ　ここから　さきには<BR>すすめないの〜。
cGameSceneNPCScriptReference0293,う〜ん……<BR>こまったわね……
cGameSceneNPCScriptReference0294,……………………………………<BR>……………………………………<BR>……………………………………<BR>……………………………………
cGameSceneNPCScriptReference0295,あ　わかった!
cGameSceneNPCScriptReference0296,エレベーターが<BR>うごかないのは<BR>どうりょくが　とまっている<BR>からだよ　きっと。
cGameSceneNPCScriptReference0297,だったら　エンジンを<BR>うごかせば　いいのね!
cGameSceneNPCScriptReference0298,アイリスってば<BR>あったまいい〜。
cGameSceneNPCScriptReference0299,エヘヘ……
cGameSceneNPCScriptReference029A,それじゃ　エンジンをうごかす<BR>スイッチをさがしに<BR>レッツゴー!!
cGameSceneNPCScriptReference029B,エンジンをうごかせば<BR>つかえるね。
cGameSceneNPCScriptReference029D,あれ?　アイリス。<BR>このエレベーター<BR>うごかないよ。
cGameSceneNPCScriptReference029E,え〜　どうしてぇ〜。
cGameSceneNPCScriptReference029F,どうしてって　いわれても……<BR>それは　たぶん……
cGameSceneNPCScriptReference02A0,どうりょくが　とまっている
cGameSceneNPCScriptReference02A2,こわれてる
cGameSceneNPCScriptReference02A4,どうりょくが　とまっている<BR>からじゃ　ないかな?
cGameSceneNPCScriptReference02A5,どうりょく?………………
cGameSceneNPCScriptReference02A6,あっそうか!!<BR>じゃあ　エンジンを<BR>うごかせば　いいんだね!!
cGameSceneNPCScriptReference02A7,<NAME>って<BR>あったまいいーーー。
cGameSceneNPCScriptReference02A8,それじゃ　エンジンをうごかす<BR>スイッチをさがしに<BR>レッツゴー!!
cGameSceneNPCScriptReference02A9,こわれてるんじゃないか?
cGameSceneNPCScriptReference02AA,え〜っ!<BR>じゃあ　ここから　さきには<BR>すすめないじゃん!!<BR>どうするの!　ねえ!!
cGameSceneNPCScriptReference02AB,あわわ……<BR>そんなに　おこらなくても<BR>いいじゃないか……
cGameSceneNPCScriptReference02AC,……………………………………<BR>……………………………………<BR>……………………………………<BR>……………………………………
cGameSceneNPCScriptReference02AD,あ　わかった!
cGameSceneNPCScriptReference02AE,エレベーターが<BR>うごかないのは<BR>どうりょくが　とまっている<BR>からだよ　きっと。
cGameSceneNPCScriptReference02AF,だったら　エンジンを<BR>うごかせば　いいんだ!
cGameSceneNPCScriptReference02B0,やったね　アイリスってば<BR>あったまいい〜。
cGameSceneNPCScriptReference02B1,それじゃ　エンジンをうごかす<BR>スイッチをさがしに<BR>レッツゴー!!
cGameSceneNPCScriptReference02B2,エンジンをうごかせば<BR>つかえるね。
cGameSceneNPCScriptReference02C7,あら?　さくらさん。<BR>このエレベーター<BR>うごきませんよ。
cGameSceneNPCScriptReference02C8,どうしてかしら?
cGameSceneNPCScriptReference02C9,そうですね…………
cGameSceneNPCScriptReference02CA,どうりょくが　とまっている
cGameSceneNPCScriptReference02CC,こわれてる
cGameSceneNPCScriptReference02CE,どうりょくが　とまっている<BR>からじゃ　ないですか?
cGameSceneNPCScriptReference02CF,きっと　そうですね。<BR>あたしも　そうおもいます。
cGameSceneNPCScriptReference02D0,それでは　まず<BR>エンジンをうごかしに<BR>いきましょう。
cGameSceneNPCScriptReference02D1,こわれてるんじゃ<BR>ないですか?<BR>さくらさん。
cGameSceneNPCScriptReference02D2,こわれてる……<BR>……こまったわ…………<BR>どうしよう……
cGameSceneNPCScriptReference02D3,じゃあ　つうしんで……
cGameSceneNPCScriptReference02D4,おおがみにきく
cGameSceneNPCScriptReference02D6,こうらんにきく
cGameSceneNPCScriptReference02D8,つうしんで　おおがみさんに<BR>きいてみます。
cGameSceneNPCScriptReference02D9,おおがみさん　おおがみさん<BR>おうとう　ねがいます。
cGameSceneNPCScriptReference02DA,どうしたんだい?<BR><NAME>くん。
cGameSceneNPCScriptReference02DB,じつは……………………………<BR>……………………………………<BR>……ということなんですが。
cGameSceneNPCScriptReference02DC,それは　きっと　どうりょくが<BR>とまっているからだよ。
cGameSceneNPCScriptReference02DD,だったら　エンジンを<BR>うごかせば　いいんですね。
cGameSceneNPCScriptReference02DE,そのとおりだ<BR><NAME>くん。<BR>それじゃ　がんばってくれ。
cGameSceneNPCScriptReference02DF,ありがとうございました<BR>おおがみさん。
cGameSceneNPCScriptReference02E0,と　いうことです。<BR>さくらさん。
cGameSceneNPCScriptReference02E1,では　まず<BR>エンジンをうごかしに<BR>いきましょう。
cGameSceneNPCScriptReference02E2,つうしんで　こうらんさんに<BR>きいてみます。
cGameSceneNPCScriptReference02E3,こうらんさん　こうらんさん<BR>おうとう　ねがいます。
cGameSceneNPCScriptReference02E4,どないしたんや?<BR><NAME>はん。
cGameSceneNPCScriptReference02E5,じつは……………………………<BR>……………………………………<BR>……ということなんですが。
cGameSceneNPCScriptReference02E6,それは　きっと　どうりょくが<BR>とまっているからやな。
cGameSceneNPCScriptReference02E7,だったら　エンジンを<BR>うごかせば　いいんですね。
cGameSceneNPCScriptReference02E8,そのとおりや<BR><NAME>はん。<BR>ほな　がんばってな。
cGameSceneNPCScriptReference02E9,ありがとうございました<BR>こうらんさん。
cGameSceneNPCScriptReference02EA,と　いうことです。<BR>さくらさん。
