ID,Text
cGameSceneNPCScriptReference075F,Iris! <NAME>!
cGameSceneNPCScriptReference0760,What’s wrong?
cGameSceneNPCScriptReference0761,We’ve lost<BR>contact with<BR>Kiku from<BR>the Rose<BR>Division.
cGameSceneNPCScriptReference0762,Huh?!
cGameSceneNPCScriptReference0763,His last<BR>known<BR>position is<BR>just a bit<BR>further ahead<BR>from where<BR>you are.
cGameSceneNPCScriptReference0764,"Roger!<BR>Let’s hurry,<BR><NAME>!"
cGameSceneNPCScriptReference0765,Iris! <NAME>!
cGameSceneNPCScriptReference0766,What’s wrong?
cGameSceneNPCScriptReference0767,We’ve lost<BR>contact with<BR>Kiku from<BR>the Rose<BR>Division.
cGameSceneNPCScriptReference0768,Huh?!
cGameSceneNPCScriptReference0769,His last<BR>known<BR>position is<BR>just a bit<BR>further ahead<BR>from where<BR>you are.
cGameSceneNPCScriptReference076A,"Roger!<BR>Let’s hurry,<BR><NAME>!"
cGameSceneNPCScriptReference0772,Sakura!
cGameSceneNPCScriptReference0773,"What is it,<BR>Yuri?"
cGameSceneNPCScriptReference0774,We’ve lost<BR>contact with<BR>Kiku from<BR>the Rose<BR>Division.
cGameSceneNPCScriptReference0775,Really?!
cGameSceneNPCScriptReference0776,His last<BR>known<BR>position is<BR>just a bit<BR>further ahead<BR>from where<BR>you are.
cGameSceneNPCScriptReference0777,"Understood.<BR>Come on,<BR><NAME>.<BR>Let’s hurry."
cGameSceneNPCScriptReference0778,Got it!
cGameSceneNPCScriptReference0779,Sakura!
cGameSceneNPCScriptReference077A,"What is it,<BR>Yuri?"
cGameSceneNPCScriptReference077B,We’ve lost<BR>contact with<BR>Kiku from<BR>the Rose<BR>Division.
cGameSceneNPCScriptReference077C,Really?!
cGameSceneNPCScriptReference077D,His last<BR>known<BR>position is<BR>just a bit<BR>further ahead<BR>from where<BR>you are.
cGameSceneNPCScriptReference077E,"Understood.<BR>Come on,<BR><NAME>.<BR>Let’s hurry."
cGameSceneNPCScriptReference077F,OK!
cGameSceneNPCScriptReference076B,Reni!
cGameSceneNPCScriptReference076C,What is it?
cGameSceneNPCScriptReference076D,We’ve lost<BR>contact with<BR>Kiku from<BR>the Rose<BR>Division.
cGameSceneNPCScriptReference076E,What?!
cGameSceneNPCScriptReference076F,His last<BR>known<BR>position is<BR>just a bit<BR>further ahead<BR>from where<BR>you are.
cGameSceneNPCScriptReference0770,"Roger.<BR>Let’s hurry,<BR><NAME>."
cGameSceneNPCScriptReference0771,OK!
cGameSceneNPCScriptReference0780,Sumire!
cGameSceneNPCScriptReference0781,"What is it,<BR>Yuri?"
cGameSceneNPCScriptReference0782,We’ve lost<BR>contact with<BR>Kiku from<BR>the Rose<BR>Division.
cGameSceneNPCScriptReference0783,Really?!
cGameSceneNPCScriptReference0784,His last<BR>known<BR>position is<BR>just a bit<BR>further ahead<BR>from where<BR>you are.
cGameSceneNPCScriptReference0785,"Understood.<BR>Come, <NAME>.<BR>We must<BR>hurry."
cGameSceneNPCScriptReference0786,OK!
