ID,Text
cGameSceneNPCScriptReference078D,Is someone there?!
cGameSceneNPCScriptReference078E,Ugah!!
cGameSceneNPCScriptReference078F,Are you alright?
cGameSceneNPCScriptReference0790,Uh-huh.<BR>I’m alright.
cGameSceneNPCScriptReference0791,I’ve been waiting here and doing flower fortunes.
cGameSceneNPCScriptReference0792,My fortune said someone would come to save me.
cGameSceneNPCScriptReference0793,So I waited here this whole time!
cGameSceneNPCScriptReference0794,Can I go home now?
cGameSceneNPCScriptReference0795,Of course you can.<BR>You’re safe now that we’re here.
cGameSceneNPCScriptReference0796,"Oh yeah, I need to thank you for saving me! Thank you, lady."
cGameSceneNPCScriptReference0797,"<NAME> rescued<BR>Miki Fukuda, the fortune-loving girl."
cGameSceneNPCScriptReference0798,Is someone there?!
cGameSceneNPCScriptReference0799,Ugah!!
cGameSceneNPCScriptReference079A,Are you alright?
cGameSceneNPCScriptReference079B,Uh-huh.<BR>I’m alright.
cGameSceneNPCScriptReference079C,I’ve been waiting here and doing flower fortunes.
cGameSceneNPCScriptReference079D,My fortune said someone would come to save me.
cGameSceneNPCScriptReference079E,So I waited here this whole time!
cGameSceneNPCScriptReference079F,Can I go home now?
cGameSceneNPCScriptReference07A0,Of course you can.<BR>Everything’s fine now that we’re here.
cGameSceneNPCScriptReference07A1,"Oh thank goodness!<BR>Thank you, mister!"
cGameSceneNPCScriptReference07A2,"<NAME> rescued<BR>Miki Fukuda, the fortune-loving girl."
