ID,Text
cGameSceneNPCScriptReference19B6,よきひこさん!<BR>だいじょうぶ?
cGameSceneNPCScriptReference19B7,ありがと〜〒<BR>ビリビリしびれて<BR>しぬかと　おもったわ。
cGameSceneNPCScriptReference19B8,おまけに<BR>あつくて　あつくて<BR>もーーーイヤ!!
cGameSceneNPCScriptReference19B9,あら　このこは?
cGameSceneNPCScriptReference19BA,はじめまして。<BR>『まじんき』かいしゅうの<BR>にんむを　うけている<BR><NAME>です。
cGameSceneNPCScriptReference19BB,あ〜ら　そうなの〜。<BR>『まじんき』のことなら<BR>な〜んでも　あたしに<BR>ききなさ〜い。
cGameSceneNPCScriptReference19BC,あかるく　こたえる
cGameSceneNPCScriptReference19BE,かんさつする
cGameSceneNPCScriptReference19C0,しつもんする
cGameSceneNPCScriptReference19C2,はい。<BR>こちらこそ　よろしく<BR>おねがいします。
cGameSceneNPCScriptReference19C3,あ〜ら　すなおな　こね。
cGameSceneNPCScriptReference19C4,あたしは<BR>おおた　よきひこ　よ〜ん〒<BR>よろしくね〜ん。
cGameSceneNPCScriptReference19C6,は　はい……
cGameSceneNPCScriptReference19C7,あたしは<BR>おおた　よきひこ　よ〜ん〒<BR>よろしくね〜ん。
cGameSceneNPCScriptReference19C8,（おとこなのに　『あたし』<BR>　って　どういうことなの?）
cGameSceneNPCScriptReference19C9,（もしかして　オカマちゃん<BR>　なのかしら……）
cGameSceneNPCScriptReference19CA,どうかしたの?<BR>あたしのカオを<BR>ジロジロみて。<BR>カオになにか　ついてる?
cGameSceneNPCScriptReference19CB,それとも　あたしの<BR>うつくしさに　しっと<BR>しているのかしら?
cGameSceneNPCScriptReference19CC,うつくしいって<BR>つみなことなのね〜。
cGameSceneNPCScriptReference19CD,は……　はあ…………
cGameSceneNPCScriptReference19CE,あの〜……<BR>よきひこさんも<BR>おかま　なのですか?
cGameSceneNPCScriptReference19CF,まあ!　ヒドイ!<BR>こんなリッパなレディを<BR>つかまえて　おかまだなんて!
cGameSceneNPCScriptReference19D0,え?<BR>おんなのひと　なんですか?
cGameSceneNPCScriptReference19D1,そうよ　あたしは<BR>ミスターレディなのよ〒
cGameSceneNPCScriptReference19D2,は……　はあ…………
cGameSceneNPCScriptReference19D3,あ〜ら　なんだか<BR>つれないわね〜。
cGameSceneNPCScriptReference19D4,………………………………
cGameSceneNPCScriptReference19D5,あっ……<BR>あら　あたしったら<BR>もう　ダメ…………
cGameSceneNPCScriptReference19D6,<NAME><BR>よきひこさんの　からだが<BR>あつさで　よわっているわ。
cGameSceneNPCScriptReference19D7,いちど　ていげきに<BR>もどるわよ。
cGameSceneNPCScriptReference19D8,よきひこさん!<BR>だいじょーぶでーすか?
cGameSceneNPCScriptReference19D9,ありがと〜〒<BR>ビリビリしびれて<BR>しぬかと　おもったわ。
cGameSceneNPCScriptReference19DA,おまけに<BR>あつくて　あつくて<BR>もーーーイヤ!!
cGameSceneNPCScriptReference19DB,あら　こちらの<BR>かわいこちゃんは?
