ID,Text
cGameSceneNPCScriptReference1B37,トビラは　しまっています。
cGameSceneNPCScriptReference1B39,アイリス。<BR>このトビラ　ひらかないわね。
cGameSceneNPCScriptReference1B3A,そうだね。<BR>カギが　かかってるのかな〜。
cGameSceneNPCScriptReference1B3B,それにしても<BR>トビラの　うえにある<BR>まじんぞう……<BR>きみわる〜い。
cGameSceneNPCScriptReference1B3C,カギが　かかってるって<BR>いうことは……　このとう……<BR>あやしくない?
cGameSceneNPCScriptReference1B3D,うん。あやしいね……<BR>でも　トビラが<BR>ひらかないし……<BR>どうしよう　<NAME>。
cGameSceneNPCScriptReference1B3E,トビラを　しらべる
cGameSceneNPCScriptReference1B40,トビラを　こわす
cGameSceneNPCScriptReference1B42,トビラを<BR>しらべてみましょう。
cGameSceneNPCScriptReference1B43,そうだね。<BR>そうしよう!!
cGameSceneNPCScriptReference1B45,たいあたりで　このトビラ<BR>こわしちゃおうか?
cGameSceneNPCScriptReference1B46,ワオ!<BR>おんなのこ　なのに<BR>だいたんだね　<NAME>!
cGameSceneNPCScriptReference1B47,じゃあ　いくわよ!
cGameSceneNPCScriptReference1B48,エイッ!!
cGameSceneNPCScriptReference1B49,あいた〜……
cGameSceneNPCScriptReference1B4A,<NAME>!<BR>だいじょうぶ?
cGameSceneNPCScriptReference1B4B,イリスプティ・ジャンポール!
cGameSceneNPCScriptReference1B4C,<NAME>は<BR>たいきゅうちが　すこし<BR>かいふくした。
cGameSceneNPCScriptReference1B4D,ダメだわ……<BR>このトビラ　こわせないわ……
cGameSceneNPCScriptReference1B4E,う〜ん……<BR>でも　トビラなんだから<BR>あける　ほうほうは<BR>あるはずだよ。
cGameSceneNPCScriptReference1B4F,しらべてみようよ<BR><NAME>。
cGameSceneNPCScriptReference1B50,……………………………………
cGameSceneNPCScriptReference1B51,とりあえず　しらべてみようよ<BR><NAME>。
cGameSceneNPCScriptReference1B52,……………………………………<BR>……………………………………<BR>……………アイリス　これは?
cGameSceneNPCScriptReference1B53,まじんぞうの　てが<BR>『なにかを　おく』ような<BR>かたちに　なってるよ。
cGameSceneNPCScriptReference1B54,このトビラを　あけるには<BR>『なにか』が　ひつよう<BR>みたいだね。
cGameSceneNPCScriptReference1B56,よーし　<NAME>。<BR>まじんぞうの　てに<BR>おくものを　さがしにいこう!
cGameSceneNPCScriptReference1B57,トビラを　あけるには<BR>まじんぞうの　てに<BR>『なにか』を　おけば　<BR>いいんじゃないかな〜?
cGameSceneNPCScriptReference1B58,どうしよう……<BR><NAME>。
cGameSceneNPCScriptReference1B59,そうね……
cGameSceneNPCScriptReference1B5A,おきものをつかう
cGameSceneNPCScriptReference1B5C,トビラを　こわす
cGameSceneNPCScriptReference1B5E,じゅもんを　となえる
cGameSceneNPCScriptReference1B60,たいあたりで<BR>トビラを　こわしちゃおうか?
cGameSceneNPCScriptReference1B62,ダメだよ。<BR>さっき　しっぱい<BR>したじゃない。
cGameSceneNPCScriptReference1B63,そうだったわね。
cGameSceneNPCScriptReference1B64,う〜ん……<BR>どうすれば　いいのかな〜。
cGameSceneNPCScriptReference1B66,ワオ!<BR>おんなのこ　なのに<BR>だいたんだね　<NAME>!
cGameSceneNPCScriptReference1B67,じゃあ　いくわよ!
cGameSceneNPCScriptReference1B68,エイッ!!
cGameSceneNPCScriptReference1B69,あいた〜……
cGameSceneNPCScriptReference1B6A,<NAME>!<BR>だいじょうぶ?
