ID,Text
cGameSceneNPCScriptReference27D3,あっ!!<BR>なんだ　あれは?!
cGameSceneNPCScriptReference27D4,おおがみさん……<BR>あれは……
cGameSceneNPCScriptReference27D5,『まじんき・かがみ』ですか?
cGameSceneNPCScriptReference27D7,あやしいかがみですね。
cGameSceneNPCScriptReference27D9,『まじんき』の『かがみ』<BR>ですか?
cGameSceneNPCScriptReference27DA,いや……<BR>『まじんき』の『かがみ』は<BR>もっと　ちいさいんだよ。
cGameSceneNPCScriptReference27DB,しかし　ふつうのかがみでも<BR>なさそうだな……<BR>ねんのため　しらべてみよう。
cGameSceneNPCScriptReference27DC,<NAME>くんは　ここで<BR>たいき　していてくれ。
cGameSceneNPCScriptReference27DE,なんだか　あやしい<BR>かんじの　かがみですね。
cGameSceneNPCScriptReference27DF,<NAME>くんも<BR>そうおもうか。
cGameSceneNPCScriptReference27E0,ただの　おおきなかがみでも<BR>なさそうだ……<BR>ねんのため　しらべてみよう。
cGameSceneNPCScriptReference27E1,<NAME>くんは　ここで<BR>たいき　していてくれ。
cGameSceneNPCScriptReference27E2,……………………………………
cGameSceneNPCScriptReference27E3,おおきな　かがみだ……
cGameSceneNPCScriptReference27E4,しかし　ふつうのかがみでも<BR>なさそうだな……<BR>ねんのため　しらべてみよう。
cGameSceneNPCScriptReference27E5,<NAME>くんは　ここで<BR>たいき　していてくれ。
cGameSceneNPCScriptReference27E6,う〜ん……<BR>みたところ　ただのかがみの<BR>ようだが……
cGameSceneNPCScriptReference27E7,あっ!?
cGameSceneNPCScriptReference27E8,あかりが　きえたぞ!!<BR><NAME>くん<BR>ちゅういするんだ!!
cGameSceneNPCScriptReference27E9,あら……ついたわ………………<BR>……………………………………<BR>キャッ!<BR>おおがみさんが　ふたり?!
cGameSceneNPCScriptReference27EA,!!<BR>わわっ!<BR>オレが　もうひとり!!
cGameSceneNPCScriptReference27EB,ど……　どうなってるの?<BR>どっちが　ホンモノなの?
cGameSceneNPCScriptReference27EC,おいおい　<NAME>くん。<BR>オレが　ホンモノに<BR>きまってるじゃないか。
cGameSceneNPCScriptReference27ED,な……<BR>なにを　いうんだキサマ!
cGameSceneNPCScriptReference27EE,<NAME>くん!!<BR>オレが　ホンモノだ!!<BR>しんじてくれ!!
cGameSceneNPCScriptReference27EF,よわったわ…………<BR>そうだわ!<BR>おおがみさんの　こうぶつを<BR>…………
cGameSceneNPCScriptReference27F0,あっ!　カツどんが!!
cGameSceneNPCScriptReference27F2,あっ!　プリンが!!
cGameSceneNPCScriptReference27F4,あっ!　タコヤキが!!
cGameSceneNPCScriptReference27F6,あっ!　プリンが!!
cGameSceneNPCScriptReference27F7,プリン?<BR>プリンが　どうかしたのか?
cGameSceneNPCScriptReference27F8,あら……<BR>プリンじゃ　ダメなのね……<BR>それじゃあ……
cGameSceneNPCScriptReference27FA,あっ!　タコヤキが!!
cGameSceneNPCScriptReference27FB,タコヤキ?<BR>タコヤキが　どうかしたのか?
cGameSceneNPCScriptReference27FC,あら……<BR>タコヤキじゃ　ダメなのね……<BR>それじゃあ……
cGameSceneNPCScriptReference27FD,あっ!　カツどんが!!
cGameSceneNPCScriptReference27FE,えっ!?<BR>カツどん!?<BR>どこ　どこ?<BR>どこにあるんだ?!
cGameSceneNPCScriptReference27FF,カツどんなんて<BR>どこにも　ないじゃないか!
cGameSceneNPCScriptReference2800,うふふ　じょうだんですよ。<BR>でも　これでわかりました。<BR>ニセモノは……
cGameSceneNPCScriptReference2801,みぎ　です!!
cGameSceneNPCScriptReference2803,ひだり　です!!
cGameSceneNPCScriptReference2805,ニセモノは　ひだりの<BR>あなたよ!!
cGameSceneNPCScriptReference2806,な……なにをいうんだい<BR><NAME>くん。<BR>も　もういちど　よく<BR>かんがえてくれ。
cGameSceneNPCScriptReference2807,いいかい?<BR>カツどんと　きいたときの<BR>はんのうを　もういちど<BR>みせるよ。
cGameSceneNPCScriptReference2808,あっ!　カツどんが!!
cGameSceneNPCScriptReference2809,えっ!?<BR>カツどん!?<BR>どこ　どこ?<BR>どこにあるんだ?!
cGameSceneNPCScriptReference280A,カツどんなんて<BR>どこにも　ないじゃないか!
cGameSceneNPCScriptReference280B,ほらね。<BR>これで　わかっただろ?<BR>ニセモノは……
cGameSceneNPCScriptReference280D,ニセモノは　みぎの<BR>あなたよ!!
cGameSceneNPCScriptReference280E,な……なにをいうんだい<BR><NAME>くん。<BR>オレは　ホンモノだよ。
cGameSceneNPCScriptReference280F,はは……どうやら<BR><NAME>くんに<BR>してやられたようだな。
cGameSceneNPCScriptReference2810,な……なんだと!?
cGameSceneNPCScriptReference2811,おおがみさんは　カツどんが<BR>だいこうぶつ　なのよ。
cGameSceneNPCScriptReference2812,だから　それに　きょうみを<BR>しめさなかった　あなたが<BR>ニセモノってわけ……
cGameSceneNPCScriptReference2813,ぐ………………………<BR>…………………………<BR>ふ……ふっふっふ……
cGameSceneNPCScriptReference2814,!!
cGameSceneNPCScriptReference2815,よーーくーーぞ<BR>みやぶった!!
cGameSceneNPCScriptReference2816,おバカだ　おバカだと<BR>おもっていたけど<BR>まんざら　おバカでは<BR>なーーかったんだねーー。
cGameSceneNPCScriptReference2817,おい!<BR>いったい　おまえは<BR>なにものなんだ!
cGameSceneNPCScriptReference2818,『まじんき』をつかって<BR>なにをしているんだ!!
cGameSceneNPCScriptReference2819,Oh!　なーーんてことなの!<BR>キミたちは　そんなことも<BR>しらないで　たたかって<BR>いたのかい。
